Year,Anomaly,co2_avg
1958,0.04,315.23699999999997
1959,0.1,315.9816666666666
1960,-0.01,316.90833333333336
1961,0.13,317.6433333333334
1962,0.03,318.4533333333333
1963,0.03,318.9925
1964,-0.03,319.62
1965,-0.08,320.0366666666667
1966,0.04,321.3675
1967,0.0,322.1791666666667
1968,-0.02,323.05
1969,0.1,324.62083333333334
1970,0.02,325.6816666666667
1971,-0.09,326.32
1972,0.13,327.45666666666665
1973,0.27,329.6816666666667
1974,0.0,330.1933333333333
1975,0.08,331.12833333333333
1976,-0.07,332.0266666666667
1977,0.28,333.8441666666667
1978,0.04,335.415
1979,0.2,336.835
1980,0.27,338.7625
1981,0.33,340.12
1982,0.1,341.4783333333333
1983,0.3,343.1525
1984,0.11,344.86833333333334
1985,0.2,346.3516666666667
1986,0.18,347.6075
1987,0.36,349.31166666666667
1988,0.43,351.69
1989,0.22,353.205
1990,0.39,354.45250000000004
1991,0.54,355.70416666666665
1992,0.3,356.54583333333335
1993,0.31,357.215
1994,0.43,358.9591666666667
1995,0.47,360.9683333333333
1996,0.3,362.74333333333334
1997,0.56,363.8766666666666
1998,0.74,366.84
1999,0.41,368.53999999999996
2000,0.39,369.7075
2001,0.53,371.31916666666666
2002,0.58,373.45250000000004
2003,0.5,375.98333333333335
2004,0.44,377.6983333333333
2005,0.67,379.98333333333335
2006,0.64,382.09083333333336
2007,0.59,384.02500000000003
2008,0.49,385.8325
2009,0.68,387.6425
2010,0.71,390.1016666666667
2011,0.62,391.85083333333336
2012,0.7,394.05583333333334
2013,0.71,396.7375
2014,0.72,398.8125
2015,0.87,401.0125
2016,0.85,404.41249999999997
2017,0.78,406.7583333333334
2018,0.8,408.715
2019,0.92,411.64916666666664
2020,0.94,414.21333333333337
2021,0.85,416.4141666666667
2022,0.93,418.52833333333336
2023,1.08,421.0758333333333
2024,1.21,424.6041666666667
2025,0.98,428.60833333333335
